windspeed,type,mean,min,max,sample_001,sample_002,sample_003,sample_004,sample_005,sample_006,sample_007,sample_008,sample_009,sample_010,sample_011,sample_012,sample_013,sample_014,sample_015,sample_016,sample_017,sample_018,sample_019,sample_020,sample_021,sample_022,sample_023,sample_024,sample_025,sample_026,sample_027,sample_028,sample_029,sample_030,sample_031,sample_032,sample_033,sample_034,sample_035,sample_036,sample_037,sample_038,sample_039,sample_040,sample_041,sample_042,sample_043,sample_044,sample_045,sample_046,sample_047,sample_048,sample_049,sample_050,sample_051,sample_052,sample_053,sample_054,sample_055,sample_056,sample_057,sample_058,sample_059,sample_060,sample_061,sample_062,sample_063,sample_064,sample_065,sample_066,sample_067,sample_068,sample_069,sample_070,sample_071,sample_072,sample_073,sample_074,sample_075,sample_076,sample_077,sample_078,sample_079,sample_080,sample_081,sample_082,sample_083,sample_084,sample_085,sample_086,sample_087,sample_088,sample_089,sample_090,sample_091,sample_092,sample_093,sample_094,sample_095,sample_096,sample_097,sample_098,sample_099,sample_100
12.8611,RD,1.0936,1.076,1.1138,1.076,1.0763555555555555,1.0767111111111112,1.0770666666666666,1.0774222222222223,1.0777777777777777,1.0781333333333334,1.0784888888888888,1.0788444444444445,1.0792,1.0795555555555556,1.079911111111111,1.0802666666666667,1.0806222222222222,1.0809777777777778,1.0813333333333333,1.081688888888889,1.0820444444444444,1.0824,1.0827555555555555,1.0831111111111111,1.0834666666666666,1.0838222222222222,1.0841777777777777,1.0845333333333333,1.0848888888888888,1.0852444444444445,1.0856,1.0859555555555556,1.086311111111111,1.0866666666666667,1.0870222222222221,1.0873777777777778,1.0877333333333332,1.0880888888888889,1.0884444444444443,1.0888,1.0891555555555554,1.089511111111111,1.0898666666666665,1.0902222222222222,1.0905777777777776,1.0909333333333333,1.0912888888888888,1.0916444444444444,1.0919999999999999,1.0923555555555555,1.092711111111111,1.0930666666666666,1.093422222222222,1.0938040404040403,1.0942121212121212,1.0946202020202018,1.0950282828282827,1.0954363636363635,1.0958444444444444,1.0962525252525253,1.096660606060606,1.0970686868686867,1.0974767676767676,1.0978848484848485,1.098292929292929,1.09870101010101,1.0991090909090908,1.0995171717171717,1.0999252525252525,1.1003333333333332,1.100741414141414,1.1011494949494949,1.1015575757575757,1.1019656565656564,1.1023737373737372,1.102781818181818,1.103189898989899,1.1035979797979798,1.1040060606060604,1.1044141414141413,1.1048222222222222,1.105230303030303,1.1056383838383836,1.1060464646464645,1.1064545454545454,1.1068626262626262,1.107270707070707,1.1076787878787877,1.1080868686868686,1.1084949494949494,1.1089030303030303,1.109311111111111,1.1097191919191918,1.1101272727272726,1.1105353535353535,1.1109434343434343,1.111351515151515,1.1117595959595958,1.1121676767676767,1.1125757575757576,1.1129838383838382,1.113391919191919,1.1138
15.43332,RD,1.0966,1.0793,1.1149,1.0793,1.0796494949494948,1.07999898989899,1.0803484848484848,1.0806979797979797,1.0810474747474748,1.0813969696969696,1.0817464646464645,1.0820959595959596,1.0824454545454545,1.0827949494949494,1.0831444444444445,1.0834939393939393,1.0838434343434342,1.0841929292929293,1.0845424242424242,1.084891919191919,1.0852414141414142,1.085590909090909,1.085940404040404,1.086289898989899,1.086639393939394,1.0869888888888888,1.0873383838383839,1.0876878787878788,1.0880373737373736,1.0883868686868687,1.0887363636363636,1.0890858585858585,1.0894353535353536,1.0897848484848485,1.0901343434343433,1.0904838383838384,1.0908333333333333,1.0911828282828282,1.0915323232323233,1.0918818181818182,1.092231313131313,1.0925808080808082,1.092930303030303,1.093279797979798,1.093629292929293,1.0939787878787879,1.0943282828282828,1.0946777777777779,1.0950272727272727,1.0953767676767676,1.0957262626262627,1.0960757575757576,1.0964252525252525,1.0967848484848486,1.0971545454545455,1.0975242424242424,1.0978939393939393,1.0982636363636364,1.0986333333333334,1.0990030303030303,1.0993727272727274,1.0997424242424243,1.1001121212121212,1.1004818181818181,1.1008515151515152,1.1012212121212122,1.101590909090909,1.101960606060606,1.102330303030303,1.1027,1.103069696969697,1.103439393939394,1.103809090909091,1.1041787878787879,1.1045484848484848,1.104918181818182,1.1052878787878788,1.1056575757575757,1.1060272727272726,1.1063969696969698,1.1067666666666667,1.1071363636363636,1.1075060606060607,1.1078757575757576,1.1082454545454545,1.1086151515151514,1.1089848484848486,1.1093545454545455,1.1097242424242424,1.1100939393939393,1.1104636363636364,1.1108333333333333,1.1112030303030302,1.1115727272727274,1.1119424242424243,1.1123121212121212,1.112681818181818,1.1130515151515152,1.1134212121212121,1.113790909090909,1.114160606060606,1.114530303030303,1.1149
18.00554,RD,1.0984,1.0818,1.1169,1.0818,1.0821353535353537,1.0824707070707071,1.0828060606060608,1.0831414141414142,1.0834767676767678,1.0838121212121212,1.0841474747474749,1.0844828282828283,1.084818181818182,1.0851535353535355,1.085488888888889,1.0858242424242426,1.086159595959596,1.0864949494949496,1.086830303030303,1.0871656565656567,1.08750101010101,1.0878363636363637,1.0881717171717173,1.0885070707070708,1.0888424242424244,1.0891777777777778,1.0895131313131314,1.0898484848484848,1.0901838383838385,1.0905191919191919,1.0908545454545455,1.0911898989898992,1.0915252525252526,1.0918606060606062,1.0921959595959596,1.0925313131313132,1.0928666666666667,1.0932020202020203,1.0935373737373737,1.0938727272727273,1.094208080808081,1.0945434343434344,1.094878787878788,1.0952141414141414,1.095549494949495,1.0958848484848485,1.096220202020202,1.0965555555555555,1.0968909090909091,1.0972262626262628,1.0975616161616162,1.0978969696969698,1.0982323232323232,1.0985868686868687,1.098960606060606,1.0993343434343434,1.0997080808080808,1.1000818181818182,1.1004555555555555,1.1008292929292929,1.1012030303030302,1.1015767676767678,1.1019505050505052,1.1023242424242425,1.10269797979798,1.1030717171717173,1.1034454545454546,1.103819191919192,1.1041929292929293,1.1045666666666667,1.104940404040404,1.1053141414141414,1.1056878787878788,1.1060616161616161,1.1064353535353535,1.1068090909090909,1.1071828282828282,1.1075565656565656,1.1079303030303032,1.1083040404040405,1.1086777777777779,1.1090515151515152,1.1094252525252526,1.10979898989899,1.1101727272727273,1.1105464646464647,1.110920202020202,1.1112939393939394,1.1116676767676767,1.112041414141414,1.1124151515151515,1.1127888888888888,1.1131626262626262,1.1135363636363635,1.113910101010101,1.1142838383838385,1.1146575757575758,1.1150313131313132,1.1154050505050506,1.115778787878788,1.1161525252525253,1.1165262626262626,1.1169
20.57776,RD,1.1013,1.0843,1.1199,1.0843,1.0846434343434344,1.0849868686868687,1.085330303030303,1.0856737373737375,1.0860171717171718,1.0863606060606061,1.0867040404040404,1.0870474747474748,1.087390909090909,1.0877343434343434,1.0880777777777777,1.0884212121212122,1.0887646464646465,1.0891080808080809,1.0894515151515152,1.0897949494949495,1.0901383838383838,1.090481818181818,1.0908252525252524,1.091168686868687,1.0915121212121213,1.0918555555555556,1.09219898989899,1.0925424242424242,1.0928858585858585,1.0932292929292928,1.0935727272727274,1.0939161616161617,1.094259595959596,1.0946030303030303,1.0949464646464646,1.095289898989899,1.0956333333333332,1.0959767676767675,1.096320202020202,1.0966636363636364,1.0970070707070707,1.097350505050505,1.0976939393939393,1.0980373737373736,1.098380808080808,1.0987242424242425,1.0990676767676768,1.0994111111111111,1.0997545454545454,1.1000979797979797,1.100441414141414,1.1007848484848484,1.1011282828282827,1.1014878787878788,1.1018636363636363,1.102239393939394,1.1026151515151514,1.1029909090909091,1.1033666666666666,1.103742424242424,1.1041181818181818,1.1044939393939393,1.104869696969697,1.1052454545454544,1.1056212121212121,1.1059969696969696,1.1063727272727273,1.1067484848484848,1.1071242424242425,1.1075,1.1078757575757574,1.108251515151515,1.1086272727272726,1.1090030303030303,1.1093787878787877,1.1097545454545454,1.110130303030303,1.1105060606060606,1.110881818181818,1.1112575757575758,1.1116333333333333,1.1120090909090907,1.1123848484848484,1.112760606060606,1.1131363636363636,1.113512121212121,1.1138878787878788,1.1142636363636362,1.114639393939394,1.1150151515151514,1.115390909090909,1.1157666666666666,1.116142424242424,1.1165181818181817,1.1168939393939392,1.117269696969697,1.1176454545454544,1.118021212121212,1.1183969696969696,1.1187727272727273,1.1191484848484847,1.1195242424242424,1.1199
23.14998,RD,1.1043,1.0867,1.1237,1.0867,1.0870555555555557,1.087411111111111,1.0877666666666668,1.0881222222222222,1.0884777777777779,1.0888333333333333,1.089188888888889,1.0895444444444444,1.0899,1.0902555555555555,1.0906111111111112,1.0909666666666666,1.0913222222222223,1.0916777777777777,1.0920333333333334,1.0923888888888889,1.0927444444444445,1.0931,1.0934555555555556,1.093811111111111,1.0941666666666667,1.0945222222222222,1.0948777777777778,1.0952333333333333,1.095588888888889,1.0959444444444444,1.0963,1.0966555555555555,1.0970111111111112,1.0973666666666666,1.0977222222222223,1.0980777777777777,1.0984333333333334,1.098788888888889,1.0991444444444445,1.0995000000000001,1.0998555555555556,1.1002111111111113,1.1005666666666667,1.1009222222222224,1.1012777777777778,1.1016333333333335,1.101988888888889,1.1023444444444446,1.1027,1.1030555555555557,1.1034111111111111,1.1037666666666668,1.1041222222222222,1.1044959595959596,1.1048878787878789,1.1052797979797981,1.1056717171717172,1.1060636363636365,1.1064555555555555,1.1068474747474748,1.107239393939394,1.1076313131313131,1.1080232323232324,1.1084151515151515,1.1088070707070707,1.10919898989899,1.109590909090909,1.1099828282828283,1.1103747474747474,1.1107666666666667,1.111158585858586,1.111550505050505,1.1119424242424243,1.1123343434343433,1.1127262626262626,1.113118181818182,1.113510101010101,1.1139020202020202,1.1142939393939393,1.1146858585858586,1.1150777777777778,1.1154696969696969,1.1158616161616162,1.1162535353535352,1.1166454545454545,1.1170373737373738,1.1174292929292928,1.117821212121212,1.1182131313131314,1.1186050505050504,1.1189969696969697,1.1193888888888888,1.119780808080808,1.1201727272727273,1.1205646464646464,1.1209565656565657,1.1213484848484847,1.121740404040404,1.1221323232323233,1.1225242424242423,1.1229161616161616,1.1233080808080806,1.1237
25.7222,RD,1.1067,1.0883,1.1274,1.0883,1.0886717171717173,1.0890434343434343,1.0894151515151516,1.0897868686868688,1.0901585858585858,1.090530303030303,1.0909020202020203,1.0912737373737373,1.0916454545454546,1.0920171717171718,1.0923888888888889,1.092760606060606,1.0931323232323233,1.0935040404040404,1.0938757575757576,1.0942474747474749,1.0946191919191919,1.0949909090909091,1.0953626262626264,1.0957343434343434,1.0961060606060606,1.0964777777777779,1.096849494949495,1.0972212121212122,1.0975929292929294,1.0979646464646464,1.0983363636363637,1.098708080808081,1.099079797979798,1.0994515151515152,1.0998232323232324,1.1001949494949494,1.1005666666666667,1.100938383838384,1.101310101010101,1.1016818181818182,1.1020535353535355,1.1024252525252525,1.1027969696969697,1.103168686868687,1.103540404040404,1.1039121212121212,1.1042838383838385,1.1046555555555555,1.1050272727272727,1.10539898989899,1.105770707070707,1.1061424242424243,1.1065141414141415,1.1069090909090908,1.1073272727272727,1.1077454545454546,1.1081636363636365,1.1085818181818181,1.109,1.1094181818181819,1.1098363636363637,1.1102545454545454,1.1106727272727273,1.1110909090909091,1.111509090909091,1.1119272727272727,1.1123454545454545,1.1127636363636364,1.1131818181818183,1.1136,1.1140181818181818,1.1144363636363637,1.1148545454545455,1.1152727272727272,1.115690909090909,1.116109090909091,1.1165272727272728,1.1169454545454545,1.1173636363636363,1.1177818181818182,1.1182,1.1186181818181817,1.1190363636363636,1.1194545454545455,1.1198727272727274,1.120290909090909,1.1207090909090909,1.1211272727272728,1.1215454545454546,1.1219636363636363,1.1223818181818181,1.1228,1.123218181818182,1.1236363636363635,1.1240545454545454,1.1244727272727273,1.124890909090909,1.1253090909090908,1.1257272727272727,1.1261454545454546,1.1265636363636364,1.126981818181818,1.1274
28.294420000000002,RD,1.1093,1.0903,1.1311,1.0903,1.0906838383838384,1.0910676767676768,1.0914515151515152,1.0918353535353535,1.092219191919192,1.0926030303030303,1.0929868686868687,1.093370707070707,1.0937545454545454,1.0941383838383838,1.0945222222222222,1.0949060606060605,1.095289898989899,1.0956737373737373,1.0960575757575757,1.096441414141414,1.0968252525252526,1.097209090909091,1.0975929292929294,1.0979767676767678,1.0983606060606061,1.0987444444444445,1.099128282828283,1.0995121212121213,1.0998959595959596,1.100279797979798,1.1006636363636364,1.1010474747474748,1.1014313131313131,1.1018151515151515,1.10219898989899,1.1025828282828283,1.1029666666666667,1.103350505050505,1.1037343434343434,1.1041181818181818,1.1045020202020202,1.1048858585858585,1.105269696969697,1.1056535353535353,1.1060373737373737,1.106421212121212,1.1068050505050504,1.1071888888888888,1.1075727272727272,1.1079565656565655,1.108340404040404,1.1087242424242423,1.1091080808080807,1.109520202020202,1.109960606060606,1.11040101010101,1.110841414141414,1.111281818181818,1.1117222222222223,1.1121626262626263,1.1126030303030303,1.1130434343434343,1.1134838383838384,1.1139242424242424,1.1143646464646464,1.1148050505050504,1.1152454545454544,1.1156858585858584,1.1161262626262627,1.1165666666666667,1.1170070707070707,1.1174474747474747,1.1178878787878788,1.1183282828282828,1.1187686868686868,1.1192090909090908,1.1196494949494948,1.1200898989898989,1.120530303030303,1.1209707070707071,1.1214111111111111,1.1218515151515152,1.1222919191919192,1.1227323232323232,1.1231727272727272,1.1236131313131312,1.1240535353535352,1.1244939393939393,1.1249343434343435,1.1253747474747475,1.1258151515151515,1.1262555555555556,1.1266959595959596,1.1271363636363636,1.1275767676767676,1.1280171717171716,1.1284575757575757,1.1288979797979797,1.129338383838384,1.129778787878788,1.130219191919192,1.130659595959596,1.1311
30.86664,RD,1.1123,1.0926,1.1344,1.0926,1.0929979797979799,1.0933959595959597,1.0937939393939393,1.0941919191919192,1.094589898989899,1.0949878787878788,1.0953858585858587,1.0957838383838383,1.0961818181818181,1.096579797979798,1.0969777777777778,1.0973757575757577,1.0977737373737375,1.0981717171717171,1.098569696969697,1.0989676767676768,1.0993656565656567,1.0997636363636365,1.1001616161616161,1.100559595959596,1.1009575757575758,1.1013555555555556,1.1017535353535355,1.102151515151515,1.102549494949495,1.1029474747474748,1.1033454545454546,1.1037434343434345,1.104141414141414,1.104539393939394,1.1049373737373738,1.1053353535353536,1.1057333333333335,1.106131313131313,1.106529292929293,1.1069272727272728,1.1073252525252526,1.1077232323232324,1.1081212121212123,1.108519191919192,1.1089171717171717,1.1093151515151516,1.1097131313131314,1.1101111111111113,1.110509090909091,1.1109070707070707,1.1113050505050506,1.1117030303030304,1.1121010101010103,1.1125232323232324,1.112969696969697,1.1134161616161617,1.1138626262626263,1.114309090909091,1.1147555555555557,1.1152020202020203,1.115648484848485,1.1160949494949495,1.1165414141414143,1.1169878787878789,1.1174343434343434,1.1178808080808083,1.1183272727272728,1.1187737373737374,1.119220202020202,1.1196666666666668,1.1201131313131314,1.120559595959596,1.1210060606060606,1.1214525252525254,1.12189898989899,1.1223454545454545,1.1227919191919193,1.123238383838384,1.1236848484848485,1.124131313131313,1.124577777777778,1.1250242424242425,1.125470707070707,1.1259171717171719,1.1263636363636365,1.126810101010101,1.1272565656565656,1.1277030303030304,1.128149494949495,1.1285959595959596,1.1290424242424244,1.129488888888889,1.1299353535353536,1.1303818181818182,1.130828282828283,1.1312747474747475,1.1317212121212121,1.132167676767677,1.1326141414141415,1.133060606060606,1.1335070707070707,1.1339535353535355,1.1344
33.43886,RD,1.1152,1.0948,1.1376,1.0948,1.0952121212121213,1.0956242424242424,1.0960363636363637,1.0964484848484848,1.096860606060606,1.0972727272727272,1.0976848484848485,1.0980969696969698,1.0985090909090909,1.0989212121212122,1.0993333333333333,1.0997454545454546,1.1001575757575757,1.100569696969697,1.100981818181818,1.1013939393939394,1.1018060606060607,1.1022181818181818,1.102630303030303,1.1030424242424242,1.1034545454545455,1.1038666666666666,1.1042787878787879,1.1046909090909092,1.1051030303030303,1.1055151515151516,1.1059272727272726,1.106339393939394,1.106751515151515,1.1071636363636363,1.1075757575757577,1.1079878787878787,1.1084,1.1088121212121211,1.1092242424242424,1.1096363636363635,1.1100484848484848,1.110460606060606,1.1108727272727272,1.1112848484848485,1.1116969696969696,1.112109090909091,1.112521212121212,1.1129333333333333,1.1133454545454544,1.1137575757575757,1.114169696969697,1.1145818181818181,1.1149939393939394,1.1154262626262625,1.115878787878788,1.116331313131313,1.1167838383838384,1.1172363636363636,1.117688888888889,1.118141414141414,1.1185939393939393,1.1190464646464646,1.1194989898989898,1.1199515151515151,1.1204040404040403,1.1208565656565657,1.1213090909090908,1.1217616161616162,1.1222141414141413,1.1226666666666667,1.1231191919191919,1.1235717171717172,1.1240242424242424,1.1244767676767675,1.124929292929293,1.125381818181818,1.1258343434343434,1.1262868686868686,1.126739393939394,1.127191919191919,1.1276444444444444,1.1280969696969696,1.128549494949495,1.1290020202020201,1.1294545454545455,1.1299070707070706,1.130359595959596,1.1308121212121212,1.1312646464646465,1.1317171717171717,1.1321696969696968,1.1326222222222222,1.1330747474747473,1.1335272727272727,1.1339797979797979,1.1344323232323232,1.1348848484848484,1.1353373737373738,1.135789898989899,1.1362424242424243,1.1366949494949494,1.1371474747474748,1.1376
36.01108,RD,1.118,1.0965,1.1412,1.0965,1.0969343434343435,1.097368686868687,1.0978030303030304,1.0982373737373738,1.0986717171717173,1.0991060606060608,1.099540404040404,1.0999747474747474,1.100409090909091,1.1008434343434343,1.1012777777777778,1.1017121212121213,1.1021464646464647,1.1025808080808082,1.1030151515151516,1.103449494949495,1.1038838383838385,1.104318181818182,1.1047525252525252,1.1051868686868687,1.1056212121212121,1.1060555555555556,1.106489898989899,1.1069242424242425,1.107358585858586,1.1077929292929294,1.1082272727272728,1.1086616161616163,1.1090959595959597,1.1095303030303032,1.1099646464646464,1.1103989898989899,1.1108333333333333,1.1112676767676768,1.1117020202020202,1.1121363636363637,1.1125707070707072,1.1130050505050506,1.113439393939394,1.1138737373737375,1.114308080808081,1.1147424242424244,1.1151767676767679,1.115611111111111,1.1160454545454546,1.116479797979798,1.1169141414141415,1.117348484848485,1.1177828282828284,1.1182343434343436,1.1187030303030303,1.1191717171717173,1.1196404040404042,1.120109090909091,1.120577777777778,1.1210464646464648,1.1215151515151516,1.1219838383838385,1.1224525252525253,1.1229212121212122,1.1233898989898992,1.123858585858586,1.1243272727272728,1.1247959595959596,1.1252646464646465,1.1257333333333335,1.1262020202020202,1.1266707070707072,1.1271393939393939,1.1276080808080808,1.1280767676767678,1.1285454545454545,1.1290141414141415,1.1294828282828284,1.1299515151515152,1.130420202020202,1.1308888888888888,1.1313575757575758,1.1318262626262627,1.1322949494949495,1.1327636363636364,1.1332323232323231,1.13370101010101,1.134169696969697,1.1346383838383838,1.1351070707070707,1.1355757575757577,1.1360444444444444,1.1365131313131314,1.136981818181818,1.137450505050505,1.137919191919192,1.1383878787878787,1.1388565656565657,1.1393252525252526,1.1397939393939394,1.1402626262626263,1.140731313131313,1.1412
